Pf3D7_01_v3	102625	+
Pf3D7_01_v3	182627	-
Pf3D7_01_v3	186606	-
Pf3D7_01_v3	225014	-
Pf3D7_01_v3	225018	-
Pf3D7_01_v3	310296	-
Pf3D7_01_v3	344206	+
Pf3D7_01_v3	344223	+
Pf3D7_01_v3	350038	+
Pf3D7_01_v3	350056	+
Pf3D7_01_v3	350099	+
Pf3D7_01_v3	350108	+
Pf3D7_01_v3	364345	+
Pf3D7_01_v3	365023	+
Pf3D7_01_v3	378753	-
Pf3D7_01_v3	393347	-
Pf3D7_01_v3	420014	+
Pf3D7_01_v3	420073	+
Pf3D7_01_v3	449414	+
Pf3D7_01_v3	449448	+
Pf3D7_01_v3	484667	+
Pf3D7_01_v3	504641	-
Pf3D7_01_v3	504684	-
Pf3D7_02_v3	102484	-
Pf3D7_02_v3	102521	-
Pf3D7_02_v3	102536	-
Pf3D7_02_v3	108970	-
Pf3D7_02_v3	109272	-
Pf3D7_02_v3	111999	-
Pf3D7_02_v3	112037	-
Pf3D7_02_v3	113926	-
Pf3D7_02_v3	113934	-
Pf3D7_02_v3	128548	+
Pf3D7_02_v3	128762	+
Pf3D7_02_v3	128791	+
Pf3D7_02_v3	128796	+
Pf3D7_02_v3	148168	-
Pf3D7_02_v3	161630	-
Pf3D7_02_v3	168391	-
Pf3D7_02_v3	182066	-
Pf3D7_02_v3	182081	-
Pf3D7_02_v3	197615	-
Pf3D7_02_v3	233046	+
Pf3D7_02_v3	258909	+
Pf3D7_02_v3	263269	+
Pf3D7_02_v3	271911	-
Pf3D7_02_v3	275055	-
Pf3D7_02_v3	303110	-
Pf3D7_02_v3	303514	-
Pf3D7_02_v3	431956	-
Pf3D7_02_v3	524276	+
Pf3D7_02_v3	664604	-
Pf3D7_02_v3	664620	-
Pf3D7_02_v3	668555	-
Pf3D7_02_v3	688781	+
Pf3D7_02_v3	723065	+
Pf3D7_02_v3	753749	+
Pf3D7_02_v3	753757	+
Pf3D7_02_v3	812128	-
Pf3D7_02_v3	812164	-
Pf3D7_02_v3	823383	-
Pf3D7_02_v3	823756	-
Pf3D7_02_v3	843507	+
